Pair Value,Dealer Upcard,Split,No Split,Action
2,2,0.5,0.1,Split
2,3,0.5,0.1,Split
2,4,0.5,0.1,Split
2,5,0.5,0.1,Split
2,6,0.5,0.1,Split
2,7,0.5,0.1,Split
2,8,0.0,0.1,No Split
2,9,0.0,0.1,No Split
2,10,0.0,0.1,No Split
2,11,0.0,0.1,No Split
3,2,0.5,0.1,Split
3,3,0.5,0.1,Split
3,4,0.5,0.1,Split
3,5,0.5,0.1,Split
3,6,0.5,0.1,Split
3,7,0.5,0.1,Split
3,8,0.0,0.1,No Split
3,9,0.0,0.1,No Split
3,10,0.0,0.1,No Split
3,11,0.0,0.1,No Split
4,2,0.0,0.1,No Split
4,3,0.0,0.1,No Split
4,4,0.0,0.1,No Split
4,5,0.5,0.1,Split
4,6,0.5,0.1,Split
4,7,0.0,0.1,No Split
4,8,0.0,0.1,No Split
4,9,0.0,0.1,No Split
4,10,0.0,0.1,No Split
4,11,0.0,0.1,No Split
5,2,0.0,0.5,No Split
5,3,0.0,0.5,No Split
5,4,0.0,0.5,No Split
5,5,0.0,0.5,No Split
5,6,0.0,0.5,No Split
5,7,0.0,0.5,No Split
5,8,0.0,0.5,No Split
5,9,0.0,0.5,No Split
5,10,0.0,0.5,No Split
5,11,0.0,0.5,No Split
6,2,0.5,0.1,Split
6,3,0.5,0.1,Split
6,4,0.5,0.1,Split
6,5,0.5,0.1,Split
6,6,0.5,0.1,Split
6,7,0.0,0.1,No Split
6,8,0.0,0.1,No Split
6,9,0.0,0.1,No Split
6,10,0.0,0.1,No Split
6,11,0.0,0.1,No Split
7,2,0.5,0.1,Split
7,3,0.5,0.1,Split
7,4,0.5,0.1,Split
7,5,0.5,0.1,Split
7,6,0.5,0.1,Split
7,7,0.5,0.1,Split
7,8,0.0,0.1,No Split
7,9,0.0,0.1,No Split
7,10,0.0,0.1,No Split
7,11,0.0,0.1,No Split
8,2,0.5,0.1,Split
8,3,0.5,0.1,Split
8,4,0.5,0.1,Split
8,5,0.5,0.1,Split
8,6,0.5,0.1,Split
8,7,0.5,0.1,Split
8,8,0.5,0.1,Split
8,9,0.5,0.1,Split
8,10,0.5,0.1,Split
8,11,0.5,0.1,Split
9,2,0.5,0.1,Split
9,3,0.5,0.1,Split
9,4,0.5,0.1,Split
9,5,0.5,0.1,Split
9,6,0.5,0.1,Split
9,7,0.0,0.1,No Split
9,8,0.5,0.1,Split
9,9,0.5,0.1,Split
9,10,0.0,0.1,No Split
9,11,0.0,0.1,No Split
10,2,0.0,0.5,No Split
10,3,0.0,0.5,No Split
10,4,0.0,0.5,No Split
10,5,0.0,0.5,No Split
10,6,0.0,0.5,No Split
10,7,0.0,0.5,No Split
10,8,0.0,0.5,No Split
10,9,0.0,0.5,No Split
10,10,0.0,0.5,No Split
10,11,0.0,0.5,No Split
11,2,0.5,0.1,Split
11,3,0.5,0.1,Split
11,4,0.5,0.1,Split
11,5,0.5,0.1,Split
11,6,0.5,0.1,Split
11,7,0.5,0.1,Split
11,8,0.5,0.1,Split
11,9,0.5,0.1,Split
11,10,0.5,0.1,Split
11,11,0.5,0.1,Split
