State,Action 0 (Stand),Action 1 (Hit),Best Action
[12  2  0],-0.3143519825358401,-0.2955177356815105,Hit
[12  3  0],-0.25044103933232714,-0.2633007340977701,Stand
[12  4  0],-0.18634979302061572,-0.2200745614889193,Stand
[12  5  0],-0.14727156443717795,-0.2676362725035025,Stand
[12  6  0],-0.14888152636306734,-0.16000925757187934,Stand
[12  7  0],-0.48456492244121563,-0.2357880553162492,Hit
[12  8  0],-0.5215796666869303,-0.2164776326598561,Hit
[12  9  0],-0.5213416865995738,-0.3004864048682345,Hit
[12 10  0],-0.5347944832799925,-0.3445091501802427,Hit
[12 11  0],-0.6774575777060377,-0.3509279477984497,Hit
[13  2  0],-0.291301406669218,-0.2371986307509844,Hit
[13  3  0],-0.2606269744153196,-0.31768655072244967,Stand
[13  4  0],-0.1939431411022327,-0.2819373465280342,Stand
[13  5  0],-0.1696063633761019,-0.33312976412670237,Stand
[13  6  0],-0.16225081378050707,-0.24094087027274877,Stand
[13  7  0],-0.4758995490045675,-0.21002691184315914,Hit
[13  8  0],-0.5060363926201235,-0.32001025060562616,Hit
[13  9  0],-0.5451045131265674,-0.37028467368851364,Hit
[13 10  0],-0.540151083438854,-0.49038522010708957,Hit
[13 11  0],-0.6688070573633693,-0.3571799232580268,Hit
[14  2  0],-0.28713434307738517,-0.42306857665368025,Stand
[14  3  0],-0.2606270831982507,-0.37312197487773036,Stand
[14  4  0],-0.2288682338635375,-0.355262964495042,Stand
[14  5  0],-0.1649110354157906,-0.29183649683166113,Stand
[14  6  0],-0.14018247834008477,-0.3004860919401764,Stand
[14  7  0],-0.46413768533945854,-0.3442567707199751,Hit
[14  8  0],-0.517600641449885,-0.32278994282009776,Hit
[14  9  0],-0.5374396918932869,-0.4662301974434683,Hit
[14 10  0],-0.5383470702168214,-0.5028561818773005,Hit
[14 11  0],-0.6667793417064936,-0.4075808733726031,Hit
[15  2  0],-0.2915521295886667,-0.4414863958431646,Stand
[15  3  0],-0.24364426869044004,-0.37726655612892257,Stand
[15  4  0],-0.1953105145595972,-0.3792631342180358,Stand
