State,Action 0 (Stand),Action 1 (Hit),Action 2 (Double),Best Action
"(5, 2, 0)",-0.1,0.5,-0.4,Hit
"(5, 3, 0)",-0.1,0.5,-0.4,Hit
"(5, 4, 0)",-0.1,0.5,-0.4,Hit
"(5, 5, 0)",-0.1,0.5,-0.4,Hit
"(5, 6, 0)",-0.1,0.5,-0.4,Hit
"(5, 7, 0)",-0.1,0.5,-0.4,Hit
"(5, 8, 0)",-0.1,0.5,-0.4,Hit
"(5, 9, 0)",-0.1,0.5,-0.4,Hit
"(5, 10, 0)",-0.1,0.5,-0.4,Hit
"(5, 11, 0)",-0.1,0.5,-0.4,Hit
"(6, 2, 0)",-0.1,0.5,-0.4,Hit
"(6, 3, 0)",-0.1,0.5,-0.4,Hit
"(6, 4, 0)",-0.1,0.5,-0.4,Hit
"(6, 5, 0)",-0.1,0.5,-0.4,Hit
"(6, 6, 0)",-0.1,0.5,-0.4,Hit
"(6, 7, 0)",-0.1,0.5,-0.4,Hit
"(6, 8, 0)",-0.1,0.5,-0.4,Hit
"(6, 9, 0)",-0.1,0.5,-0.4,Hit
"(6, 10, 0)",-0.1,0.5,-0.4,Hit
"(6, 11, 0)",-0.1,0.5,-0.4,Hit
"(7, 2, 0)",-0.1,0.5,-0.4,Hit
"(7, 3, 0)",-0.1,0.5,-0.4,Hit
"(7, 4, 0)",-0.1,0.5,-0.4,Hit
"(7, 5, 0)",-0.1,0.5,-0.4,Hit
"(7, 6, 0)",-0.1,0.5,-0.4,Hit
"(7, 7, 0)",-0.1,0.5,-0.4,Hit
"(7, 8, 0)",-0.1,0.5,-0.4,Hit
"(7, 9, 0)",-0.1,0.5,-0.4,Hit
"(7, 10, 0)",-0.1,0.5,-0.4,Hit
"(7, 11, 0)",-0.1,0.5,-0.4,Hit
"(8, 2, 0)",-0.1,0.5,-0.4,Hit
"(8, 3, 0)",-0.1,0.5,-0.4,Hit
"(8, 4, 0)",-0.1,0.5,-0.4,Hit
"(8, 5, 0)",-0.1,0.5,-0.4,Hit
"(8, 6, 0)",-0.1,0.5,-0.4,Hit
"(8, 7, 0)",-0.1,0.5,-0.4,Hit
"(8, 8, 0)",-0.1,0.5,-0.4,Hit
"(8, 9, 0)",-0.1,0.5,-0.4,Hit
"(8, 10, 0)",-0.1,0.5,-0.4,Hit
"(8, 11, 0)",-0.1,0.5,-0.4,Hit
"(9, 2, 0)",-0.31287827565915427,0.11570978674819621,0.12469977837921721,Double
"(9, 3, 0)",-0.06916562927835083,0.12378883466027762,0.12140838703266821,Hit
"(9, 4, 0)",-0.10331810269862153,0.15843576983966895,0.1481379948691392,Hit
"(9, 5, 0)",-0.07192826713054054,0.18862275245628696,0.13681857922957752,Hit
"(9, 6, 0)",-0.23802108362950689,0.2821431583342048,0.3356564723897859,Double
"(9, 7, 0)",-0.25415844393388576,0.1609890853914565,0.12083242407644096,Hit
"(9, 8, 0)",-0.2404306660331661,0.1312165914866275,-0.09654383016136883,Hit
"(9, 9, 0)",-0.1995563760416335,-0.046179531378823926,-0.1428821079594532,Hit
"(9, 10, 0)",-0.4375310100104346,-0.16236350881453718,-0.5229486893454944,Hit
"(9, 11, 0)",-0.2483516901364648,-0.04333591911954237,-0.48352615985915515,Hit
"(10, 2, 0)",-0.2093976877604276,0.16617765687569636,0.06906927981850294,Hit
"(10, 3, 0)",0.1789117395370892,0.20502393769772095,0.39785547825158274,Double
"(10, 4, 0)",-0.31621061502875203,0.20468162172361398,0.46811536876919335,Double
"(10, 5, 0)",-0.36407443377587756,0.26460019994383877,0.4876651647863196,Double
"(10, 6, 0)",-0.031185655411504844,0.43800879240635016,0.5747550822858194,Double
"(10, 7, 0)",-0.36157412812470946,0.19844360416222123,0.17080815687795928,Hit
"(10, 8, 0)",-0.2779049275921616,0.19029294402725255,0.04732882780682458,Hit
"(10, 9, 0)",-0.3217839295970602,0.09508127152341721,0.11596735261554739,Double
"(10, 10, 0)",-0.375693372718942,0.008351182399416792,-0.1574478362664851,Hit
"(10, 11, 0)",-0.3495324320059987,0.11371437008859261,0.047038714313064695,Hit
"(11, 2, 0)",-0.25699763779723056,0.3084078923410376,0.4601191167884726,Double
"(11, 3, 0)",-0.29457056801501313,0.38383007050748486,0.5375614554308482,Double
"(11, 4, 0)",-0.1775115448148841,0.3026783584121275,0.5673104261383466,Double
"(11, 5, 0)",-0.19985385657639634,0.31379423265129364,0.6334005919581861,Double
"(11, 6, 0)",-0.07695209831351632,0.3240768409985439,0.6292240773027357,Double
"(11, 7, 0)",-0.4022393616777765,0.33108443170396396,0.4821505328400563,Double
"(11, 8, 0)",-0.2015388812393024,0.2732085087139641,0.3972076198419717,Double
"(11, 9, 0)",-0.16332559866662102,0.18844030426667518,0.21712078811590013,Double
"(11, 10, 0)",-0.4808406120539742,0.08801102440792116,-0.0605575340338401,Hit
"(11, 11, 0)",-0.08609644042700029,0.1673978584658935,0.17746083549149033,Double
"(12, 2, 0)",-0.344347056937486,-0.25249766159306813,-0.6035767657841362,Hit
"(12, 3, 0)",-0.322504175881284,-0.23072918850860596,-0.403996119167588,Hit
"(12, 4, 0)",-0.3854141046140076,-0.2193523464884083,-0.5330046094703981,Hit
"(12, 5, 0)",-0.3278326622535904,-0.18602685634961558,-0.6390967150863114,Hit
"(12, 6, 0)",-0.15630174548322004,-0.27036300896383464,-0.436453344621971,Stand
"(12, 7, 0)",-0.30386545617065064,-0.23989007950980382,-0.48967602092823825,Hit
"(12, 8, 0)",-0.6228051216104278,-0.28369963878314897,-0.808807972030122,Hit
"(12, 9, 0)",-0.6629240796344646,-0.34341854055602644,-0.7443161819135411,Hit
"(12, 10, 0)",-0.5056019082117235,-0.3942174733013437,-0.649133912596435,Hit
"(12, 11, 0)",-0.615358113858133,-0.3344755129178868,-1.2342169959302414,Hit
"(13, 2, 0)",-0.2880837498547739,-0.34212174381666677,-0.599110159167848,Stand
"(13, 3, 0)",-0.21974487368993328,-0.3518956549929857,-0.6563283526352058,Stand
"(13, 4, 0)",-0.1911745330160799,-0.32694256435590985,-0.7720510854084743,Stand
"(13, 5, 0)",-0.17490010131864167,-0.3431734008978964,-0.8389546337795031,Stand
"(13, 6, 0)",-0.12927528615443357,-0.369007527238507,-0.41544729981993717,Stand
"(13, 7, 0)",-0.516641943881313,-0.29118808303947435,-0.37996281694294454,Hit
"(13, 8, 0)",-0.40601502790503896,-0.3170764447673239,-0.5357209684356355,Hit
"(13, 9, 0)",-0.5746004138618255,-0.3764822982662823,-0.7892819333930894,Hit
"(13, 10, 0)",-0.5548962849824186,-0.43049437464028606,-0.977086220493822,Hit
"(13, 11, 0)",-0.5743625839510746,-0.40875520939958776,-0.8627676987639841,Hit
"(14, 2, 0)",-0.26957477707749467,-0.3988911263121203,-0.6405534242648023,Stand
"(14, 3, 0)",-0.25382599558418245,-0.32518427578936415,-0.6019047729625646,Stand
"(14, 4, 0)",-0.2048546964907098,-0.3495449401903822,-0.6139262481247616,Stand
"(14, 5, 0)",-0.1606489256611482,-0.43792988366777974,-0.7663970444644688,Stand
"(14, 6, 0)",-0.14736810347675228,-0.28061967620501405,-0.4406787215899873,Stand
"(14, 7, 0)",-0.49965918009873167,-0.32857759920442775,-0.8731551453784507,Hit
"(14, 8, 0)",-0.5684462583016467,-0.3634002952363189,-0.6113119121179601,Hit
"(14, 9, 0)",-0.5354647665295803,-0.42733369916408653,-0.9017846448933173,Hit
"(14, 10, 0)",-0.5983738367158312,-0.47534566294386704,-0.8675413694888017,Hit
"(14, 11, 0)",-0.5281584495212872,-0.4436094645118981,-0.7504989933727357,Hit
"(15, 2, 0)",-0.2921755946334851,-0.41380205059594594,-0.8364966456412495,Stand
"(15, 3, 0)",-0.25005453484956736,-0.4924637179434487,-0.9313390948888118,Stand
"(15, 4, 0)",-0.21484977831803792,-0.46551057258338324,-0.7294128180294903,Stand
"(15, 5, 0)",-0.1806180191906983,-0.37422157371833836,-0.7947344052934782,Stand
"(15, 6, 0)",-0.17590499538556303,-0.35308952244808317,-0.7340375363756313,Stand
"(15, 7, 0)",-0.5775587386044176,-0.37747261042511127,-0.7354705755185358,Hit
"(15, 8, 0)",-0.5114958336134319,-0.42281779945575215,-1.0417198269112669,Hit
"(15, 9, 0)",-0.714496535873391,-0.46407440957781215,-1.0654219368382372,Hit
"(15, 10, 0)",-0.6116673770420418,-0.512629423840156,-0.917411731178457,Hit
"(15, 11, 0)",-0.6590645011249658,-0.49394279937503227,-1.0337948981630343,Hit
"(16, 2, 0)",-0.2927529771435645,-0.5355675565654802,-1.1187150705375963,Stand
"(16, 3, 0)",-0.26414015621752795,-0.4537477144574459,-0.7047712505805642,Stand
"(16, 4, 0)",-0.21393873670673202,-0.5745991064534286,-1.093294058624619,Stand
"(16, 5, 0)",-0.14874043857680036,-0.44275100767650144,-0.7331454895835532,Stand
"(16, 6, 0)",-0.15265869287955874,-0.4018526829640017,-0.7806509302179012,Stand
