State,Action 0 (Stand),Action 1 (Hit),Best Action
"(5, 2, 0)",-0.1,0.5,Hit
"(5, 3, 0)",-0.1,0.5,Hit
"(5, 4, 0)",-0.1,0.5,Hit
"(5, 5, 0)",-0.1,0.5,Hit
"(5, 6, 0)",-0.1,0.5,Hit
"(5, 7, 0)",-0.1,0.5,Hit
"(5, 8, 0)",-0.1,0.5,Hit
"(5, 9, 0)",-0.1,0.5,Hit
"(5, 10, 0)",-0.1,0.5,Hit
"(5, 11, 0)",-0.1,0.5,Hit
"(6, 2, 0)",-0.1,0.5,Hit
"(6, 3, 0)",-0.1,0.5,Hit
"(6, 4, 0)",-0.1,0.5,Hit
"(6, 5, 0)",-0.1,0.5,Hit
"(6, 6, 0)",-0.1,0.5,Hit
"(6, 7, 0)",-0.1,0.5,Hit
"(6, 8, 0)",-0.1,0.5,Hit
"(6, 9, 0)",-0.1,0.5,Hit
"(6, 10, 0)",-0.1,0.5,Hit
"(6, 11, 0)",-0.1,0.5,Hit
"(7, 2, 0)",-0.1,0.5,Hit
"(7, 3, 0)",-0.1,0.5,Hit
"(7, 4, 0)",-0.1,0.5,Hit
"(7, 5, 0)",-0.1,0.5,Hit
"(7, 6, 0)",-0.1,0.5,Hit
"(7, 7, 0)",-0.1,0.5,Hit
"(7, 8, 0)",-0.1,0.5,Hit
"(7, 9, 0)",-0.1,0.5,Hit
"(7, 10, 0)",-0.1,0.5,Hit
"(7, 11, 0)",-0.1,0.5,Hit
"(8, 2, 0)",-0.1,0.5,Hit
"(8, 3, 0)",-0.1,0.5,Hit
"(8, 4, 0)",-0.1,0.5,Hit
"(8, 5, 0)",-0.1,0.5,Hit
"(8, 6, 0)",-0.1,0.5,Hit
"(8, 7, 0)",-0.1,0.5,Hit
"(8, 8, 0)",-0.1,0.5,Hit
"(8, 9, 0)",-0.1,0.5,Hit
"(8, 10, 0)",-0.1,0.5,Hit
"(8, 11, 0)",-0.1,0.5,Hit
"(9, 2, 0)",-0.1,0.5,Hit
"(9, 3, 0)",-0.1,0.5,Hit
"(9, 4, 0)",-0.1,0.5,Hit
"(9, 5, 0)",-0.1,0.5,Hit
"(9, 6, 0)",-0.1,0.5,Hit
"(9, 7, 0)",-0.1,0.5,Hit
"(9, 8, 0)",-0.1,0.5,Hit
"(9, 9, 0)",-0.1,0.5,Hit
"(9, 10, 0)",-0.1,0.5,Hit
"(9, 11, 0)",-0.1,0.5,Hit
"(10, 2, 0)",-0.1,0.5,Hit
"(10, 3, 0)",-0.1,0.5,Hit
"(10, 4, 0)",-0.1,0.5,Hit
"(10, 5, 0)",-0.1,0.5,Hit
"(10, 6, 0)",-0.1,0.5,Hit
"(10, 7, 0)",-0.1,0.5,Hit
"(10, 8, 0)",-0.1,0.5,Hit
"(10, 9, 0)",-0.1,0.5,Hit
"(10, 10, 0)",-0.1,0.5,Hit
"(10, 11, 0)",-0.1,0.5,Hit
"(11, 2, 0)",-0.1,0.5,Hit
"(11, 3, 0)",-0.1,0.5,Hit
"(11, 4, 0)",-0.1,0.5,Hit
"(11, 5, 0)",-0.1,0.5,Hit
"(11, 6, 0)",-0.1,0.5,Hit
"(11, 7, 0)",-0.1,0.5,Hit
"(11, 8, 0)",-0.1,0.5,Hit
"(11, 9, 0)",-0.1,0.5,Hit
"(11, 10, 0)",-0.1,0.5,Hit
"(11, 11, 0)",-0.1,0.5,Hit
"(12, 2, 0)",-0.2736344924075931,-0.26015929413282624,Hit
"(12, 3, 0)",-0.30514287837551113,-0.23746764813631008,Hit
"(12, 4, 0)",-0.24410442537378052,-0.21359529866507737,Hit
"(12, 5, 0)",-0.16697731404286115,-0.2705195998371392,Stand
"(12, 6, 0)",-0.20258799044754222,-0.16282740346325125,Hit
"(12, 7, 0)",-0.37569143638247426,-0.23810702515414703,Hit
"(12, 8, 0)",-0.5452275281535706,-0.2845349058708838,Hit
"(12, 9, 0)",-0.4890672629078443,-0.3660383112046276,Hit
"(12, 10, 0)",-0.5023254243201555,-0.37398208444973,Hit
"(12, 11, 0)",-0.4887339840339552,-0.3643871104420039,Hit
"(13, 2, 0)",-0.3401247751232375,-0.30556752386104025,Hit
"(13, 3, 0)",-0.32137881515942973,-0.293988574778373,Hit
"(13, 4, 0)",-0.1890995040742146,-0.302300566785233,Stand
"(13, 5, 0)",-0.1368813655446151,-0.26539276862592154,Stand
"(13, 6, 0)",-0.15472516503518097,-0.2885602379520406,Stand
"(13, 7, 0)",-0.4288135064160996,-0.29701526592383964,Hit
"(13, 8, 0)",-0.5464816216314237,-0.3252094467756007,Hit
"(13, 9, 0)",-0.4651178915163181,-0.389340195109118,Hit
"(13, 10, 0)",-0.618047277415928,-0.41434863080766293,Hit
"(13, 11, 0)",-0.6223849474472434,-0.405144443980922,Hit
"(14, 2, 0)",-0.2920358506384236,-0.39121605177181995,Stand
"(14, 3, 0)",-0.23564054189828493,-0.40120122650911777,Stand
"(14, 4, 0)",-0.2105280058966616,-0.2924489466252376,Stand
"(14, 5, 0)",-0.16865240948178473,-0.4870976848615234,Stand
"(14, 6, 0)",-0.15105870937883775,-0.36687858580158644,Stand
"(14, 7, 0)",-0.47332964663488386,-0.33531143556848064,Hit
"(14, 8, 0)",-0.4430406432309373,-0.3871479823557553,Hit
"(14, 9, 0)",-0.5703606117263378,-0.43211584575502016,Hit
"(14, 10, 0)",-0.5196090372344883,-0.4625730199223971,Hit
"(14, 11, 0)",-0.5166616071718638,-0.45163056459973766,Hit
"(15, 2, 0)",-0.2913532391686484,-0.4050298458954408,Stand
"(15, 3, 0)",-0.23645761668794832,-0.4630552190504116,Stand
"(15, 4, 0)",-0.2041646496881011,-0.4098247245876391,Stand
"(15, 5, 0)",-0.14737723183823465,-0.3515352996899199,Stand
