Pair Value,Dealer Upcard,Split,No Split,Action
2,2,0.13156869577989017,0.0524674294753998,Split
2,3,0.18080056302543474,0.06948137093312755,Split
2,4,0.24730535895570593,0.1500700331912509,Split
2,5,0.3354865055268257,0.21274809128431355,Split
2,6,0.28724463474695716,0.22554848973365454,Split
2,7,0.254380723582724,0.02805909460582555,Split
2,8,0.13295748208042812,0.051427467293829715,Split
2,9,0.04846851319825652,-0.05438710574936449,Split
2,10,0.0571543357118483,-0.03042808744721555,Split
2,11,0.12081635257959683,-0.06493314068095962,Split
3,2,-0.030790184307885243,-0.07337865656518464,Split
3,3,0.14815346921163375,0.03563707920964418,Split
3,4,0.20733404779052955,0.021191843263224423,Split
3,5,0.16452810815800178,0.14723667884664715,Split
3,6,0.19920484249127107,0.10780099039161817,Split
3,7,0.1434975508808823,-0.10347085131366204,Split
3,8,0.0779590492308449,-0.09326097935489477,Split
3,9,0.031707930580338925,-0.25369781080148096,Split
3,10,-0.0033319082647767194,-0.27693337322215483,Split
3,11,-0.03380488825890293,-0.15693096993958638,Split
4,2,-0.021344397180973664,0.024884875832241644,No Split
4,3,0.1313881907313901,0.06330576404550213,Split
4,4,0.07926927430116879,0.05567673835129272,Split
4,5,0.20973142143908713,0.18405126693532542,Split
4,6,0.13043838140971947,0.15079107125737376,No Split
4,7,0.0351282738872726,0.12188321131270166,No Split
4,8,-0.08068904045331046,-0.07585027891006745,No Split
4,9,-0.07937406596062063,-0.1919564029473868,Split
4,10,-0.12736694692818512,-0.21517222546581294,Split
4,11,0.009901885696467903,-0.21442796484788762,Split
5,2,-0.07936142413306088,0.6002445307138967,No Split
5,3,0.08958851464677506,0.401556155134777,No Split
5,4,0.08179412596135452,0.5933114317642789,No Split
5,5,0.053090842970294705,0.8899556077280221,No Split
5,6,0.16976986375825534,0.6318481324633315,No Split
5,7,-0.08800428798712545,0.45945820693758616,No Split
5,8,-0.11386730214254212,0.295681999279631,No Split
5,9,-0.133097145335914,0.0431762823572157,No Split
5,10,-0.2552170160618078,0.03816482718983055,No Split
5,11,-0.1810607925748625,0.07063163500904121,No Split
6,2,-0.06653011411200026,-0.14517058349583412,Split
6,3,-0.03752580311556579,-0.1164957760035843,Split
6,4,0.036697552747125564,-0.2382601743820571,Split
6,5,0.02815540497643288,0.07551533342326791,No Split
6,6,0.11796980610292591,-0.20517653768811847,Split
6,7,-0.08898914622914136,-0.3014292393577874,Split
6,8,-0.10871456658656402,-0.32038888048903424,Split
6,9,-0.24665696805012655,-0.25067429867938085,Split
6,10,-0.22529118921163022,-0.16989660825070496,No Split
6,11,-0.22207086441645624,-0.2652052253960334,Split
7,2,-0.0766317994623344,-0.4029538069064168,Split
7,3,-0.01880694721970304,-0.09851820501370478,Split
7,4,0.06826640121773468,-0.1480483168521936,Split
7,5,0.10221430018733108,0.02293113477926201,Split
7,6,0.10215955335221855,-0.16434635475004072,Split
7,7,-0.009209514798674887,-0.3492292232850974,Split
7,8,-0.15334635406311034,-0.4609958532704769,Split
7,9,-0.24537948233284151,-0.3422203824410238,Split
7,10,-0.27322258480021544,-0.589039699659353,Split
7,11,-0.17497603115872454,-0.33777416618460665,Split
8,2,0.019255140249002843,-0.12903643186198854,Split
8,3,0.08076974617602442,-0.19734194967668267,Split
8,4,0.062209678314800475,0.2078454341106819,No Split
8,5,0.164978546799187,-0.029385384253382135,Split
8,6,0.14336411509767266,-0.12483105235743838,Split
8,7,0.11628291624138216,-0.5166346210921247,Split
8,8,-0.014159484945232784,-0.49386893595393666,Split
8,9,-0.14357677893005225,-0.5112293330806835,Split
8,10,-0.21956227628259034,-0.5562625541270614,Split
8,11,-0.19305238747719083,-0.4693622571290622,Split
9,2,0.08557083549258965,1.8300418812981303,No Split
9,3,0.21707752891570725,0.3141484248150165,No Split
9,4,0.1671071910221418,1.3202097286556675,No Split
9,5,0.2563162139896564,1.5323687440809655,No Split
9,6,0.2781758492286656,2.44350882023283,No Split
9,7,0.6394289644801587,4.082642044781348,No Split
9,8,0.15726913080112925,1.0679462335079548,No Split
9,9,-0.00637552943771416,-0.22922968487745787,Split
9,10,-0.15025702699349577,-0.41022390679433995,Split
9,11,-0.02307481612757111,-0.07775924011513034,Split
10,2,0.964465452622765,24.2659001708032,No Split
10,3,1.3199525944632131,23.006722044297632,No Split
10,4,1.2252631226777133,23.399962238343356,No Split
10,5,1.443688940617296,26.895593026192827,No Split
10,6,0.8780397086714216,28.80696800835183,No Split
10,7,1.4970506341227363,30.202002680260932,No Split
10,8,1.909720487322171,26.050715781206613,No Split
10,9,2.6988889426254326,24.167348014377225,No Split
10,10,4.206285650578115,71.62769689113327,No Split
10,11,1.3445547101967286,17.598569726541964,No Split
11,2,0.66339792669794,0.0738011200618147,Split
11,3,0.7644053256204566,0.1920156507987264,Split
11,4,0.4253538884099758,0.17946711509700697,Split
11,5,0.6736749545401479,0.2985885560390632,Split
11,6,0.9895886074212041,0.3131456174413203,Split
11,7,0.7163065299007368,0.1338159598160262,Split
11,8,0.6202662460075035,0.22880190064330014,Split
11,9,0.6899742662884444,0.07226448365061167,Split
11,10,0.224311421279583,0.12374800709135533,Split
11,11,0.16481276299329306,0.010750341191604907,Split
